strategy,cycle,start_cycle,cost,qalys,life_years,undiscounted_cost,undiscounted_qalys,undiscounted_life_years,discount_factor_costs,discount_factor_qalys,cohort_start_year,calendar_year,pd_uptake_at_start,cohort_size,comparison_group,bia_scenario
high_pd_adoption,1,0,43440840.0,775.2599999999999,1314.0,43440840.0,775.2599999999999,1314.0,1.0,1.0,2026,2026,0.25,1314.0,scenario,high_pd_adoption
high_pd_adoption,2,1,38975342.4,679.6665,1156.32,38975342.4,679.6665,1156.32,1.0,1.0,2026,2027,0.25,1314.0,scenario,high_pd_adoption
high_pd_adoption,3,2,34845774.156,596.202534,1017.5616,34845774.156,596.202534,1017.5616,1.0,1.0,2026,2028,0.25,1314.0,scenario,high_pd_adoption
high_pd_adoption,4,3,31065562.035359997,523.2391690499999,895.4542079999999,31065562.035359997,523.2391690499999,895.4542079999999,1.0,1.0,2026,2029,0.25,1314.0,scenario,high_pd_adoption
high_pd_adoption,5,4,27632043.832820393,459.3891928805999,787.9997030399999,27632043.832820393,459.3891928805999,787.9997030399999,1.0,1.0,2026,2030,0.25,1314.0,scenario,high_pd_adoption
high_pd_adoption,1,0,42195168.0,777.8879999999999,1314.0,42195168.0,777.8879999999999,1314.0,1.0,1.0,2027,2027,0.3,1314.0,scenario,high_pd_adoption
high_pd_adoption,2,1,38078458.56,681.3615599999998,1156.32,38078458.56,681.3615599999998,1156.32,1.0,1.0,2027,2028,0.3,1314.0,scenario,high_pd_adoption
high_pd_adoption,3,2,34201886.2992,597.2455871999999,1017.5615999999999,34201886.2992,597.2455871999999,1017.5615999999999,1.0,1.0,2027,2029,0.3,1314.0,scenario,high_pd_adoption
high_pd_adoption,4,3,30604952.391264,523.8315215639999,895.4542079999999,30604952.391264,523.8315215639999,895.4542079999999,1.0,1.0,2027,2030,0.3,1314.0,scenario,high_pd_adoption
high_pd_adoption,1,0,41198630.4,779.9903999999999,1314.0,41198630.4,779.9903999999999,1314.0,1.0,1.0,2028,2028,0.34,1314.0,scenario,high_pd_adoption
high_pd_adoption,2,1,37360951.488,682.7176079999999,1156.32,37360951.488,682.7176079999999,1156.32,1.0,1.0,2028,2029,0.34,1314.0,scenario,high_pd_adoption
high_pd_adoption,3,2,33686776.01376,598.0800297599999,1017.5616,33686776.01376,598.0800297599999,1017.5616,1.0,1.0,2028,2030,0.34,1314.0,scenario,high_pd_adoption
high_pd_adoption,1,0,40451227.2,781.5672,1314.0,40451227.2,781.5672,1314.0,1.0,1.0,2029,2029,0.37,1314.0,scenario,high_pd_adoption
high_pd_adoption,2,1,36822821.184,683.734644,1156.3200000000002,36822821.184,683.734644,1156.3200000000002,1.0,1.0,2029,2030,0.37,1314.0,scenario,high_pd_adoption
high_pd_adoption,1,0,39703824.0,783.144,1314.0,39703824.0,783.144,1314.0,1.0,1.0,2030,2030,0.4,1314.0,scenario,high_pd_adoption
current_practice,1,0,44935646.400000006,772.1064000000001,1314.0000000000002,44935646.400000006,772.1064000000001,1314.0000000000002,1.0,1.0,2026,2026,0.19,1314.0,current_practice,high_pd_adoption
current_practice,2,1,40051603.008000016,677.632428,1156.3200000000002,40051603.008000016,677.632428,1156.3200000000002,1.0,1.0,2026,2027,0.19,1314.0,current_practice,high_pd_adoption
current_practice,3,2,35618439.58416001,594.9508701600001,1017.5616000000002,35618439.58416001,594.9508701600001,1017.5616000000002,1.0,1.0,2026,2028,0.19,1314.0,current_practice,high_pd_adoption
current_practice,4,3,31618293.608275205,522.5283460332,895.4542080000001,31618293.608275205,522.5283460332,895.4542080000001,1.0,1.0,2026,2029,0.19,1314.0,current_practice,high_pd_adoption
current_practice,5,4,28025694.53606031,459.0468077585041,787.9997030400002,28025694.53606031,459.0468077585041,787.9997030400002,1.0,1.0,2026,2030,0.19,1314.0,current_practice,high_pd_adoption
current_practice,1,0,44935646.400000006,772.1064000000001,1314.0000000000002,44935646.400000006,772.1064000000001,1314.0000000000002,1.0,1.0,2027,2027,0.19,1314.0,current_practice,high_pd_adoption
current_practice,2,1,40051603.008000016,677.632428,1156.3200000000002,40051603.008000016,677.632428,1156.3200000000002,1.0,1.0,2027,2028,0.19,1314.0,current_practice,high_pd_adoption
current_practice,3,2,35618439.58416001,594.9508701600001,1017.5616000000002,35618439.58416001,594.9508701600001,1017.5616000000002,1.0,1.0,2027,2029,0.19,1314.0,current_practice,high_pd_adoption
current_practice,4,3,31618293.608275205,522.5283460332,895.4542080000001,31618293.608275205,522.5283460332,895.4542080000001,1.0,1.0,2027,2030,0.19,1314.0,current_practice,high_pd_adoption
current_practice,1,0,44935646.400000006,772.1064000000001,1314.0000000000002,44935646.400000006,772.1064000000001,1314.0000000000002,1.0,1.0,2028,2028,0.19,1314.0,current_practice,high_pd_adoption
current_practice,2,1,40051603.008000016,677.632428,1156.3200000000002,40051603.008000016,677.632428,1156.3200000000002,1.0,1.0,2028,2029,0.19,1314.0,current_practice,high_pd_adoption
current_practice,3,2,35618439.58416001,594.9508701600001,1017.5616000000002,35618439.58416001,594.9508701600001,1017.5616000000002,1.0,1.0,2028,2030,0.19,1314.0,current_practice,high_pd_adoption
current_practice,1,0,44935646.400000006,772.1064000000001,1314.0000000000002,44935646.400000006,772.1064000000001,1314.0000000000002,1.0,1.0,2029,2029,0.19,1314.0,current_practice,high_pd_adoption
current_practice,2,1,40051603.008000016,677.632428,1156.3200000000002,40051603.008000016,677.632428,1156.3200000000002,1.0,1.0,2029,2030,0.19,1314.0,current_practice,high_pd_adoption
current_practice,1,0,44935646.400000006,772.1064000000001,1314.0000000000002,44935646.400000006,772.1064000000001,1314.0000000000002,1.0,1.0,2030,2030,0.19,1314.0,current_practice,high_pd_adoption
